Link,Name,Teams,Prize,Type,Location,Start Date,End Date
https://www.hltv.org/events/7903/blast-bounty-2025-season-1,BLAST Bounty 2025 Season 1,32,LAN Finals spots,32,Jan 14th - Jan 19,14.01.2025,19.01.2025
https://www.hltv.org/events/8281/xse-pro-league-2025,XSE Pro League 2025,8+,27908,8+,Jan 10th - Jan 12,10.01.2025,12.01.2025
https://www.hltv.org/events/8259/frost-and-fire-europe-season-1,Frost and Fire Europe Season 1,12,40000,12,Jan 9th - Jan 12,09.01.2025,12.01.2025
https://www.hltv.org/events/8220/frost-and-fire-south-america-season-1,Frost and Fire South America Season 1,12,25000,12,Jan 9th - Jan 12,09.01.2025,12.01.2025
https://www.hltv.org/events/7901/hltv-awards-2024,HLTV Awards 2024,-,_,-,Jan 11,11.01.2025,11.01.2025
https://www.hltv.org/events/8258/frost-and-fire-europe-season-1-closed-qualifier,Frost and Fire Europe Season 1 Closed Qualifier,16,Main event spots,16,Dec 27th - Jan 8,27.12.2024,08.01.2025
https://www.hltv.org/events/8280/urban-contenders-season-3,Urban Contenders Season 3,2+,2500,2+,Jan 7,07.01.2025,07.01.2025
https://www.hltv.org/events/8260/esl-impact-winter-2025-cash-cup-1-north-america,ESL Impact Winter 2025 Cash Cup 1 North America,2+,1000,2+,Jan 4,04.01.2025,04.01.2025
https://www.hltv.org/events/8256/1xbet-mesa-asia-series-2024-finals,1xBet MESA Asia Series 2024 Finals,6,25000,6,Dec 27th - Dec 29,27.12.2024,29.12.2024
https://www.hltv.org/events/8255/betboom-streamers-battle-2024,BetBoom Streamers Battle 2024,4+,26756,4+,Dec 23rd - Dec 25,23.12.2024,25.12.2024
https://www.hltv.org/events/8226/united21-league-season-24,United21 League Season 24,8+,10000,8+,Dec 18th - Dec 25,18.12.2024,25.12.2024
https://www.hltv.org/events/8225/european-pro-league-2nd-division-season-18,European Pro League 2nd Division Season 18,8+,10000,8+,Dec 17th - Dec 24,17.12.2024,24.12.2024
https://www.hltv.org/events/8254/natixis-christmas-challenge-2024,Natixis Christmas Challenge 2024,2+,2497,2+,Dec 22,22.12.2024,22.12.2024
https://www.hltv.org/events/8253/rog-winter-cup-2024,ROG Winter Cup 2024,2+,1670,2+,Dec 22,22.12.2024,22.12.2024
https://www.hltv.org/events/8252/dubai-police-esports-tournament-season-4,Dubai Police Esports Tournament Season 4,2+,10891,2+,Dec 22,22.12.2024,22.12.2024
https://www.hltv.org/events/8231/wildz-invitational-season-1,Wildz Invitational Season 1,4+,26228,4+,Dec 22,22.12.2024,22.12.2024
https://www.hltv.org/events/8227/skinclub-christmas-cup-2024,Skin.Club Christmas Cup 2024,8,15000,8,Dec 18th - Dec 22,18.12.2024,22.12.2024
https://www.hltv.org/events/8228/exort-series-6,Exort Series 6,8+,10000,8+,Dec 19th - Dec 21,19.12.2024,21.12.2024
https://www.hltv.org/events/8219/frost-and-fire-south-america-season-1-closed-qualifier,Frost and Fire South America Season 1 Closed Qualifier,16,Main event spots,16,Dec 13th - Dec 21,13.12.2024,21.12.2024
https://www.hltv.org/events/8209/500-casino-christmas-cup-2024,500 Casino Christmas Cup 2024,8,50000,8,Dec 9th - Dec 17,09.12.2024,17.12.2024
https://www.hltv.org/events/8210/legion-upea-national-league-2024,LEGION UPEA National League 2024,8+,24172,8+,Dec 5th - Dec 17,05.12.2024,17.12.2024
https://www.hltv.org/events/8204/european-pro-league-season-21,European Pro League Season 21,16,20000,16,Nov 30th - Dec 17,30.11.2024,17.12.2024
https://www.hltv.org/events/8224/esl-impact-autumn-2024-cash-cup-6-north-america,ESL Impact Autumn 2024 Cash Cup 6 North America,2+,1000,2+,Dec 15,15.12.2024,15.12.2024
https://www.hltv.org/events/8223/1xbet-frag-season-13,1xBet FRAG Season 13,2+,7500,2+,Dec 15,15.12.2024,15.12.2024
https://www.hltv.org/events/8222/resf-open-cup-2024,RESF Open Cup 2024,2+,11000,2+,Dec 15,15.12.2024,15.12.2024
https://www.hltv.org/events/8218/kleverr-virsliga-season-3-finals,kleverr Virsliga Season 3 Finals,4,1256,4,Dec 15,15.12.2024,15.12.2024
https://www.hltv.org/events/8190/esl-impact-autumn-2024-cash-cup-6-europe,ESL Impact Autumn 2024 Cash Cup 6 Europe,2+,1000,2+,Dec 15,15.12.2024,15.12.2024
https://www.hltv.org/events/8216/prizepicks-na-revival-series-5,PrizePicks NA Revival Series 5,8,5000,8,Dec 14th - Dec 15,14.12.2024,15.12.2024
https://www.hltv.org/events/8212/legion-romanian-esports-league-season-4-finals,LEGION Romanian Esports League Season 4 Finals,4+,27955,4+,Dec 14th - Dec 15,14.12.2024,15.12.2024
https://www.hltv.org/events/8135/esl-challenger-league-season-48-north-america-relegation,ESL Challenger League Season 48 North America Relegation,6,ESL/ESEA circuit spots,6,Dec 10th - Dec 15,10.12.2024,15.12.2024
https://www.hltv.org/events/8134/esl-challenger-league-season-48-europe-relegation,ESL Challenger League Season 48 Europe Relegation,12,ESL/ESEA circuit spots,12,Dec 10th - Dec 15,10.12.2024,15.12.2024
https://www.hltv.org/events/7524/perfect-world-shanghai-major-2024,Perfect World Shanghai Major 2024,16,1250000,16,Dec 5th - Dec 15,05.12.2024,15.12.2024
https://www.hltv.org/events/8172/cct-season-2-europe-series-15,CCT Season 2 Europe Series 15,24,50000,24,Dec 3rd - Dec 15,03.12.2024,15.12.2024
https://www.hltv.org/events/8221/dust2-india-1xbet-masters-17,Dust2 India 1xBet Masters 17,4,1500,4,Dec 14,14.12.2024,14.12.2024
https://www.hltv.org/events/8162/dach-masters-season-2-finals,DACH Masters Season 2 Finals,2,9790,2,Dec 14,14.12.2024,14.12.2024
https://www.hltv.org/events/8217/liga-gamers-club-2024-serie-a-december-cup,Liga Gamers Club 2024 Serie A December Cup,4+,2000,4+,Dec 12th - Dec 13,12.12.2024,13.12.2024
https://www.hltv.org/events/8213/kleverr-meistriliiga-season-1-finals,kleverr Meistriliiga Season 1 Finals,4,1268,4,Dec 8,08.12.2024,08.12.2024
https://www.hltv.org/events/8211/legion-romanian-esports-league-season-4,LEGION Romanian Esports League Season 4,6+,LAN Finals spots,6+,Dec 7th - Dec 8,07.12.2024,08.12.2024
https://www.hltv.org/events/8079/fragadelphia-18,Fragadelphia 18,16+,25000,16+,Dec 6th - Dec 8,06.12.2024,08.12.2024
https://www.hltv.org/events/8200/esea-advanced-season-51-north-america,ESEA Advanced Season 51 North America,8+,20600,8+,Dec 2nd - Dec 8,02.12.2024,08.12.2024
https://www.hltv.org/events/8199/esea-advanced-season-51-europe,ESEA Advanced Season 51 Europe,24+,20600,24+,Nov 26th - Dec 8,26.11.2024,08.12.2024
https://www.hltv.org/events/8188/ukic-league-winter-2024-finals,UKIC League Winter 2024 Finals,2,3241,2,Dec 7,07.12.2024,07.12.2024
https://www.hltv.org/events/8207/1xbet-mesa-asia-series-3,1xBet MESA Asia Series 3,8,10000,8,Dec 4th - Dec 6,04.12.2024,06.12.2024
https://www.hltv.org/events/8201/united21-league-season-23,United21 League Season 23,8+,10000,8+,Nov 28th - Dec 5,28.11.2024,05.12.2024
